网点代码,网点名称,期间,业务总收入,代理金融收入,寄递业务收入,函件收入,国际函件收入,国内普包收入,机要收入,报刊收入,集邮收入,代理服务收入,信息服务收入,分销配送收入,文创收入,其他销售商品收入,其他业务收入,业务总成本,主营业务成本,管理费用,人工成本,业务代办费,业务外包费,折旧费,修理费,租赁成本,运输成本,营销费用,低值易耗品摊销,材料用品,印制成本+印制产品成本,集邮业务成本,分销商品销售成本,劳动保护费,安全保卫费,水电取暖费,行政办公经费,营业利润,利润总额,company,region,period,year,month,业务总收入_单月,营业利润_单月,利润总额_单月
43004106,辛安渡支局,2025年1月,1036850.62,1012666.44,96.21,47.2,0.0,129.5,0,0.0,6844.3,0.0,0.0,17056.0,0,10.97,0.0,261771.997082535,260154.883599297,0.0,111404.746944131,28889.7685552779,0.0,21125.6784481947,0.0,0.0,116.6366202606,212.98383724667,0.0,909.74,0.0,21709.366727,15117.0054320848,0.0,12777.86,0.0,0.0,775078.622917465,775078.622917465,13武汉东西湖区,东西湖区,2025-01,2025,1,1036850.62,775078.622917465,775078.622917465
43040001,邾城支局,2025年1月,4601.02,0.0,4601.02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4601.02,4601.02,02武汉新洲区,新洲区,2025-01,2025,1,4601.02,4601.02,4601.02
43040006,新阳支局(待失效),2025年1月,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02武汉新洲区,新洲区,2025-01,2025,1,0.0,0.0,0.0
43040201,辛冲支局,2025年1月,1221.95,0.0,1221.95,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.95,1221.95,02武汉新洲区,新洲区,2025-01,2025,1,1221.95,1221.95,1221.95
43040301,旧街支局,2025年1月,590776.41,576776.15,214.06,0.0,0.0,0.0,0,4800.83,0.0,452.0,0.0,8533.37,0,0.0,0.0,291591.0,291591.0,0.0,193100.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,299185.41,299185.41,02武汉新洲区,新洲区,2025-01,2025,1,590776.41,299185.41,299185.41
43040401,新集支局,2025年1月,451598.77,438111.25,451.24,0.0,0.0,0.0,0,2887.49,0.0,1220.0,0.0,8928.79,0,0.0,0.0,222891.0,222891.0,0.0,124400.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,228707.77,228707.77,02武汉新洲区,新洲区,2025-01,2025,1,451598.77,228707.77,228707.77
43040501,徐古支局,2025年1月,485289.3,472795.39,3294.54,171.0,0.0,0.0,0,4812.14,0.0,352.0,0.0,3864.23,0,0.0,0.0,239491.0,239491.0,0.0,141000.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,245798.3,245798.3,02武汉新洲区,新洲区,2025-01,2025,1,485289.3,245798.3,245798.3
43040601,潘塘支局,2025年1月,391879.81,371444.31,2254.24,0.0,0.0,0.0,0,3221.2,0.0,1320.0,0.0,13640.06,0,0.0,0.0,193391.0,193391.0,0.0,94900.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,198488.81,198488.81,02武汉新洲区,新洲区,2025-01,2025,1,391879.81,198488.81,198488.81
43040801,三店支局,2025年1月,575588.52,547168.78,2504.71,0.0,0.0,0.0,0,9322.48,0.0,602.62,0.0,15989.93,0,0.0,0.0,284291.0,284291.0,0.0,185800.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,291297.52,291297.52,02武汉新洲区,新洲区,2025-01,2025,1,575588.52,291297.52,291297.52
43040901,凤凰支局,2025年1月,492.8,0.0,492.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.8,492.8,02武汉新洲区,新洲区,2025-01,2025,1,492.8,492.8,492.8
